序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
1856,第7门,增上戒學門,卷3,沙彌十戒,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,餘可知。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1857,第7门,增上戒學門,卷3,沙彌十戒,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,餘可知。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1858,第7门,增上戒學門,卷3,沙彌十戒,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,餘可知。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1859,第7门,增上戒學門,卷3,沙彌十戒,謨佛,謨,爱烦恼,佛,无漏善慧,行,初乾慧地,第11门,升,,「謨」表爱烦恼、「佛」表无漏善慧。乾慧以治思，故入初乾慧地。,手工逐组（门1–14 手写）,承注,餘可知。,謨佛。則乾慧以治思。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1860,第7门,增上戒學門,卷3,沙彌十戒,阿阿,阿,施善,阿,施善,行,持比丘律,第7门,升,,「阿阿」二字俱表施善。终身受持而功行又胜，渐成增上，故能持比丘律。,手工逐组（门1–14 手写）,承注,餘可知。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1861,第7门,增上戒學門,卷3,沙彌十戒,阿彌,阿,施善,彌,戒善,行,持二部律,第7门,升,,「阿」表施善、「彌」表戒善。终身受持而功行又胜，渐成增上，故能持二部律。,手工逐组（门1–14 手写）,承注,餘可知。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1862,第7门,增上戒學門,卷3,沙彌十戒,阿陀,阿,施善,陀,定善,行,廣持毗尼,第7门,升,,「阿」表施善、「陀」表定善。随力浅深，渐成增上，故广持毗尼。,手工逐组（门1–14 手写）,承注,餘可知。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1863,第7门,增上戒學門,卷3,沙彌十戒,阿佛,阿,施善,佛,无漏善慧,行,業清淨戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。此位随如来出家，戒学转成增上，故入业清净戒。,手工逐组（门1–14 手写）,承注,餘可知。,阿佛。則成菩薩居士。故業清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1864,第7门,增上戒學門,卷3,沙彌十戒,彌彌,彌,戒善,彌,戒善,行,廣持毗尼,第7门,升,,「彌彌」二字俱表戒善。随力浅深，渐成增上，故广持毗尼。,手工逐组（门1–14 手写）,承注,餘可知。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1865,第7门,增上戒學門,卷3,沙彌十戒,彌陀,彌,戒善,陀,定善,行,住毗尼而不動,第7门,升,,「彌」表戒善、「陀」表定善。随力浅深，渐成增上，故住毗尼而不动。,手工逐组（门1–14 手写）,承注,餘可知。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1866,第7门,增上戒學門,卷3,沙彌十戒,彌佛,彌,戒善,佛,无漏善慧,行,餘清淨戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。为菩萨比丘，故余清净，入余清净戒。,手工逐组（门1–14 手写）,承注,餘可知。,彌佛。則為菩薩比丘。故餘清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1867,第7门,增上戒學門,卷3,沙彌十戒,陀陀,陀,定善,陀,定善,行,善能滅諍,第7门,升,,「陀陀」二字俱表定善。随力浅深，渐成增上，故善能灭诤。,手工逐组（门1–14 手写）,承注,餘可知。,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1868,第7门,增上戒學門,卷3,沙彌十戒,陀佛,陀,定善,佛,无漏善慧,行,中品上生,第14门,横超,,「陀」表定善、「佛」表无漏善慧。终身受持而功行又胜，准十六观经，故得中品上生。,手工逐组（门1–14 手写）,承注,餘可知。,陀佛。則准十六觀經而生淨土。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1869,第7门,增上戒學門,卷3,沙彌十戒,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十信位,第13门,升,,「佛佛」二字俱表无漏善慧。悟戒之实相而净六根，故入圆十信位。,手工逐组（门1–14 手写）,承注,餘可知。,佛佛。則悟戒之實相而淨六根。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1870,第7门,增上戒學門,卷3,持比丘律,那那,那,见烦恼,那,见烦恼,行,忉利天,第4门,升,,「那那」二字俱表见烦恼。前异熟尽，承戒力以生天，故生忉利天。,手工逐组（门1–14 手写）,承注,,那那。則必有毀犯。故須作法懺除。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1871,第7门,增上戒學門,卷3,持比丘律,那謨,那,见烦恼,謨,爱烦恼,行,夜摩天,第4门,升,,「那」表见烦恼、「謨」表爱烦恼。前异熟尽，承戒力以生天，故生夜摩天。,手工逐组（门1–14 手写）,承注,,那謨。則引業所牽。命終還生人道。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1872,第7门,增上戒學門,卷3,持比丘律,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1873,第7门,增上戒學門,卷3,持比丘律,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1874,第7门,增上戒學門,卷3,持比丘律,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1875,第7门,增上戒學門,卷3,持比丘律,那佛,那,见烦恼,佛,无漏善慧,行,總相念,第10门,升,,「那」表见烦恼、「佛」表无漏善慧。功行胜沙弥，念处又进以调见，故入总相念。,手工逐组（门1–14 手写）,承注,,那佛。則五停以調見,《選佛譜》卷第三・在家五戒・L145,在家五戒
1876,第7门,增上戒學門,卷3,持比丘律,謨謨,謨,爱烦恼,謨,爱烦恼,行,八關齋戒,第7门,降,,「謨謨」二字俱表爱烦恼。烦恼力强而不敢破戒，故舍具戒为优婆塞，兼持八戒。,手工逐组（门1–14 手写）,直說,謨謨。亦是煩惱力強。不敢破戒。故捨具戒為優婆塞。兼持八戒。斯無過也。,謨謨。亦是煩惱力強。不敢破戒。故捨具戒為優婆塞。兼持八戒。斯無過也。,《選佛譜》卷第三・持比丘律・L157,持比丘律
1877,第7门,增上戒學門,卷3,持比丘律,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1878,第7门,增上戒學門,卷3,持比丘律,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1879,第7门,增上戒學門,卷3,持比丘律,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1880,第7门,增上戒學門,卷3,持比丘律,謨佛,謨,爱烦恼,佛,无漏善慧,行,初乾慧地,第11门,升,,「謨」表爱烦恼、「佛」表无漏善慧。乾慧以治思，故入初乾慧地。,手工逐组（门1–14 手写）,承注,,謨佛。則乾慧以治思。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1881,第7门,增上戒學門,卷3,持比丘律,阿阿,阿,施善,阿,施善,行,持二部律,第7门,升,,「阿阿」二字俱表施善。功行胜沙弥，渐成增上，故能持二部律。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1882,第7门,增上戒學門,卷3,持比丘律,阿彌,阿,施善,彌,戒善,行,廣持毗尼,第7门,升,,「阿」表施善、「彌」表戒善。功行胜沙弥，渐成增上，故广持毗尼。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1883,第7门,增上戒學門,卷3,持比丘律,阿陀,阿,施善,陀,定善,行,住毗尼而不動,第7门,升,,「阿」表施善、「陀」表定善。随力浅深，渐成增上，故住毗尼而不动。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1884,第7门,增上戒學門,卷3,持比丘律,阿佛,阿,施善,佛,无漏善慧,行,餘清淨戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。此位即为菩萨比丘，故余清净，入余清净戒。,手工逐组（门1–14 手写）,承注,,阿佛。則成菩薩居士。故業清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1885,第7门,增上戒學門,卷3,持比丘律,彌彌,彌,戒善,彌,戒善,行,住毗尼而不動,第7门,升,,「彌彌」二字俱表戒善。随力浅深，渐成增上，故住毗尼而不动。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1886,第7门,增上戒學門,卷3,持比丘律,彌陀,彌,戒善,陀,定善,行,善能滅諍,第7门,升,,「彌」表戒善、「陀」表定善。随力浅深，渐成增上，故善能灭诤。,手工逐组（门1–14 手写）,承注,,阿阿等六。隨力淺深。漸成增上。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1887,第7门,增上戒學門,卷3,持比丘律,彌佛,彌,戒善,佛,无漏善慧,行,覺清淨戒,第7门,升,,「彌」表戒善、「佛」表无漏善慧。由增上戒学，成增上定学，故入觉清净戒。,手工逐组（门1–14 手写）,承注,,彌佛。則為菩薩比丘。故餘清淨。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1888,第7门,增上戒學門,卷3,持比丘律,陀陀,陀,定善,陀,定善,行,十一切處觀,第8门,升,,「陀陀」二字俱表定善。由增上戒学，成增上定学，故入十一切处观。,手工逐组（门1–14 手写）,直說,陀陀十一切處者。由增上戒學。成增上定學故。,陀陀十一切處者。由增上戒學。成增上定學故。,《選佛譜》卷第三・持比丘律・L157,持比丘律
1889,第7门,增上戒學門,卷3,持比丘律,陀佛,陀,定善,佛,无漏善慧,行,中品上生,第14门,横超,,「陀」表定善、「佛」表无漏善慧。功行胜沙弥，准十六观经，故得中品上生。,手工逐组（门1–14 手写）,承注,,陀佛。則准十六觀經而生淨土。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1890,第7门,增上戒學門,卷3,持比丘律,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十信位,第13门,升,,「佛佛」二字俱表无漏善慧。悟戒之实相而净六根，故入圆十信位。,手工逐组（门1–14 手写）,承注,,佛佛。則悟戒之實相而淨六根。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1891,第7门,增上戒學門,卷3,持二部律,那那,那,见烦恼,那,见烦恼,行,夜摩天,第4门,升,,「那那」二字俱表见烦恼。前异熟尽，承戒力以生天，故生夜摩天。,手工逐组（门1–14 手写）,承注,,那那。則必有毀犯。故須作法懺除。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1892,第7门,增上戒學門,卷3,持二部律,那謨,那,见烦恼,謨,爱烦恼,行,兜率天,第4门,升,,「那」表见烦恼、「謨」表爱烦恼。前异熟尽，承戒力以生天，故生兜率天。,手工逐组（门1–14 手写）,承注,,那謨。則引業所牽。命終還生人道。,《選佛譜》卷第三・在家五戒・L145,在家五戒
1893,第7门,增上戒學門,卷3,持二部律,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1894,第7门,增上戒學門,卷3,持二部律,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1895,第7门,增上戒學門,卷3,持二部律,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1896,第7门,增上戒學門,卷3,持二部律,那佛,那,见烦恼,佛,无漏善慧,行,總相念,第10门,升,,「那」表见烦恼、「佛」表无漏善慧。堪任教诫而念处调见，故入总相念。,手工逐组（门1–14 手写）,承注,,那佛。則五停以調見,《選佛譜》卷第三・在家五戒・L145,在家五戒
